Received Total CAD 35764.58
Received Total EUR 1309.79 EUR = 1791.923699 in CAD(2013)
Received Total USD 4220.88 USD = 4343.28552 in CAD(2013)
Year End Balance Total CAD 9012.96
Year End Balance Total EUR 1016.57 EUR = 1390.769417 in CAD(2013)
Year End Balance Total USD 2940.88 USD = 3026.16552 in CAD(2013)
------------------------------------------------------------------------------------------
Date, Time, Time Zone, Type, Currency, Net
4/19/2013,14:54:13,GMT-04:00,Donation Received,CAD,14.11
4/17/2013,03:09:30,GMT-04:00,Donation Received,USD,47.75
4/15/2013,06:03:27,GMT-04:00,Donation Received,USD,970.70
4/14/2013,13:28:58,GMT-04:00,Donation Received,CAD,47.75
3/30/2013,05:38:02,GMT-04:00,Donation Received,CAD,47.75
3/27/2013,11:01:07,GMT-04:00,Donation Received,USD,14.26
3/26/2013,17:39:00,GMT-04:00,Currency Conversion,CAD,24.01
3/26/2013,17:39:00,GMT-04:00,Currency Conversion,EUR,-18.87
3/26/2013,17:39:00,GMT-04:00,Donation Received,EUR,18.87
3/26/2013,17:26:02,GMT-04:00,Donation Received,CAD,18.92
3/25/2013,08:09:37,GMT-04:00,Payment Received,CAD,4000.00
3/21/2013,15:16:09,GMT-04:00,Donation Received,CAD,6.91
3/19/2013,13:26:50,GMT-04:00,Donation Received,CAD,72.52
3/19/2013,01:58:13,GMT-04:00,Donation Received,USD,47.75
3/17/2013,16:05:47,GMT-04:00,Currency Conversion,CAD,184.97
3/17/2013,16:05:47,GMT-04:00,Currency Conversion,EUR,-143.80
3/17/2013,16:05:47,GMT-04:00,Donation Received,EUR,143.80
3/16/2013,06:58:26,GMT-04:00,Payment Received,CAD,4000.00
3/14/2013,16:02:21,GMT-04:00,Currency Conversion,CAD,24.41
3/14/2013,16:02:21,GMT-04:00,Currency Conversion,EUR,-18.87
3/14/2013,16:02:21,GMT-04:00,Donation Received,EUR,18.87
3/7/2013,21:12:22,GMT-05:00,Payment Received,CAD,4000.00
3/5/2013,20:26:42,GMT-05:00,Donation Received,USD,2.61
3/5/2013,15:20:37,GMT-05:00,Withdraw Funds to a Bank Account,CAD,-10000.00
3/5/2013,15:17:09,GMT-05:00,Currency Conversion,CAD,116.49
3/5/2013,15:17:09,GMT-05:00,Currency Conversion,EUR,-89.32
3/5/2013,15:17:09,GMT-05:00,Update to Payment Received,EUR,89.32
3/2/2013,21:13:38,GMT-05:00,Donation Received,USD,23.97
3/2/2013,10:29:06,GMT-05:00,Donation Received,CAD,47.75
3/2/2013,09:48:27,GMT-05:00,Payment Received,CAD,4000.00
3/2/2013,06:44:28,GMT-05:00,Donation Received,EUR,89.32
2/26/2013,06:54:04,GMT-05:00,Donation Received,USD,0.66
2/25/2013,08:57:12,GMT-05:00,Donation Received,EUR,5.00
2/22/2013,10:35:28,GMT-05:00,Donation Received,USD,23.97
2/19/2013,01:27:32,GMT-05:00,Donation Received,CAD,18.92
2/18/2013,16:57:31,GMT-05:00,Payment Received,CAD,4000.00
2/17/2013,07:07:45,GMT-05:00,Payment Received,CAD,4000.00
2/16/2013,13:23:23,GMT-05:00,Payment Received,CAD,2000.00
2/16/2013,11:41:23,GMT-05:00,Payment Received,CAD,2000.00
